source_relative_path_from_04_WR_root	archived_relative_path	git_blob_sha1	sha256	bytes
pain-preserve/EXP-S5-WR-LINK-STARTUP-TARGETED-RAW-20260916/read_clock_activity.log	raw/unique-preserved/pain-preserve/EXP-S5-WR-LINK-STARTUP-TARGETED-RAW-20260916/read_clock_activity.log	0f3e8cb8348e9a76cd8a27985becf1e794d93a18	0e4f430ceab430e8b9de2d688a14908ee5f8152a45e2d3f5a6ae0cc96cd5598a	2446
pain-preserve/EXP-S5-WR-LINK-STARTUP-TARGETED-RAW-20260916/read_probe.log	raw/unique-preserved/pain-preserve/EXP-S5-WR-LINK-STARTUP-TARGETED-RAW-20260916/read_probe.log	7204aceefe84052ecbaf4a9e5374ab8f1b1c91f4	1bb26caee45f1752b7eae7b42a57a3a7594838128d53a73d71f7760a72370e24	3540
pain-preserve/EXP-WR-PHY-LINK-NONDESTRUCTIVE-HARDWARE-ISOLATION-20260916/pre-reseat/read_clock_activity.log	raw/unique-preserved/pain-preserve/EXP-WR-PHY-LINK-NONDESTRUCTIVE-HARDWARE-ISOLATION-20260916/pre-reseat/read_clock_activity.log	a67a0bb6383c40c240391d6dec958ca7b632b53a	57d8222759d5b98312562178d4f4cbbacaa74136972ad214854025600b8f8c8d	2447
pain-preserve/EXP-WR-PHY-LINK-NONDESTRUCTIVE-HARDWARE-ISOLATION-20260916/pre-reseat/read_probe.log	raw/unique-preserved/pain-preserve/EXP-WR-PHY-LINK-NONDESTRUCTIVE-HARDWARE-ISOLATION-20260916/pre-reseat/read_probe.log	eeb8004c3c78aa6d565498ef08df667304053861	ff48220fa2d5565008a3ec8b8fed032702c1d37040a9a93f4258c19f07cba7f1	3540
pain-preserve/EXP-WR-PHY-LINK-NONDESTRUCTIVE-HARDWARE-ISOLATION-20260916/pre-reseat/status-recheck-20260917-000541.log	raw/unique-preserved/pain-preserve/EXP-WR-PHY-LINK-NONDESTRUCTIVE-HARDWARE-ISOLATION-20260916/pre-reseat/status-recheck-20260917-000541.log	452718f9328e7b1d9f278acdab8edf19bc12d13c	18b6ec689c22591f29aaac79ada435d8d10e24045293c77a96da9652d103904c	5805
pain-preserve/EXP-WR-PHY-LINK-NONDESTRUCTIVE-HARDWARE-ISOLATION-20260916/pre-reseat/status-recheck-20260917-001050-followup.log	raw/unique-preserved/pain-preserve/EXP-WR-PHY-LINK-NONDESTRUCTIVE-HARDWARE-ISOLATION-20260916/pre-reseat/status-recheck-20260917-001050-followup.log	b5e6515181c79ddc5628d8194f335b98b7ccef35	69926a783c1f9f17ca3244184de34570105346d54a81b7af80aad594cb3b3a4e	5816
pain-preserved-step6-extdisable-20260921/raw/extdisable-10s.log	raw/unique-preserved/pain-preserved-step6-extdisable-20260921/raw/extdisable-10s.log	da42eef40ac08bb0bd0d93c17c42cbae6397fa88	213bc487de934c847ab4bc784f44bf664c072274a421d666a1474315b6400fcf	6722
pain-preserved-step6-master-tx-comma-prepull-d40ed7f3/raw/build/DE5a_wr_master_jtag.asm.rpt	raw/unique-preserved/pain-preserved-step6-master-tx-comma-prepull-d40ed7f3/raw/build/DE5a_wr_master_jtag.asm.rpt	45c6c0def1097b6a735f71badd994d44e8a819b2	55c09c36320924bcc79123e9e63f402b623c0670d66fdaf8b48bc4582a426bcd	4756
pain-preserved-step6-master-tx-comma-prepull-d40ed7f3/raw/build/DE5a_wr_master_jtag.fit.rpt	raw/unique-preserved/pain-preserved-step6-master-tx-comma-prepull-d40ed7f3/raw/build/DE5a_wr_master_jtag.fit.rpt	de5003217961aca38b808377d6686698eb917f3b	f65825fae588dfb0dffe9cfb89b31678339043ea9792d14b35ca5aa7b9ad6663	2685440
pain-preserved-step6-master-tx-comma-prepull-d40ed7f3/raw/build/DE5a_wr_master_jtag.map.rpt	raw/unique-preserved/pain-preserved-step6-master-tx-comma-prepull-d40ed7f3/raw/build/DE5a_wr_master_jtag.map.rpt	f5fdacb60e52ebbebe17e7c6e7116a92f11acde2	f67989bcb325e1c918f66f27738792c1e8308de1bedf4e373c576d6798e1fca7	4565881
pain-preserved-step6-master-tx-comma-prepull-d40ed7f3/raw/build/DE5a_wr_master_jtag.sta.rpt	raw/unique-preserved/pain-preserved-step6-master-tx-comma-prepull-d40ed7f3/raw/build/DE5a_wr_master_jtag.sta.rpt	11669c6b032ba763022d32184537b36a6f6a794a	bf727fde83d82c88116022baaca9cd9317f696990f66ddc615b8c48f3f60370b	195700
pain-preserved-step6b-timing-correction-collection-filter-before-pull-20260922/raw/timing/master_quartus_sta.log	raw/unique-preserved/pain-preserved-step6b-timing-correction-collection-filter-before-pull-20260922/raw/timing/master_quartus_sta.log	5d6fcaa2c3716d733216d07d1645f80d14cd6dd5	2c203b747018f0164a6e1f780ec24010652f25d7777091379d48f1cee0f52dcb	13874
