BOARD,CYCLE,HOST_START_MS,HOST_END_MS,MAIN_PRODUCER_VALID,PUBLICATION_COHERENT,PUBLICATION_EPOCH,PRODUCER_EPOCH,UPDATE_ID,INIT_GENERATION,PRODUCER_IDENTITY,FREQ_ERROR,BRANCH_ID,BRANCH_ERROR,PI_X,PI_OUTPUT,PI_CLAMP_SIDE,FLAGS,FREQ_COUNT_BEFORE,FREQ_COUNT_AFTER,PHASE_COUNT_BEFORE,PHASE_COUNT_AFTER,SAMPLE_N,SOURCE_IDS,TOTAL_UPDATES,FREQ_UPDATES,PHASE_UPDATES,FREQ_TO_PHASE,PHASE_TO_FREQ,PHASE_DETECTOR,PHASE_IN_BAND,PHASE_OUT_BAND,LAST_TRANSITION_UPDATE,LAST_TRANSITION,STATUS,LAST_FREQ_UPDATE,LAST_PHASE_UPDATE,FRAME_WORDS,SCHEMA_VERSION,MAGIC,TRANSPORT_FAILURE,PUBLICATION_EPOCH_RAW_BEFORE,PUBLICATION_EPOCH_RAW_AFTER,PRODUCER_EPOCH_RAW,UPDATE_ID_RAW,INIT_GENERATION_RAW,PRODUCER_IDENTITY_RAW,FREQ_ERROR_RAW,BRANCH_ID_RAW,BRANCH_ERROR_RAW,PI_X_RAW,PI_OUTPUT_RAW,PI_CLAMP_SIDE_RAW,FLAGS_RAW,FREQ_COUNT_BEFORE_RAW,FREQ_COUNT_AFTER_RAW,PHASE_COUNT_BEFORE_RAW,PHASE_COUNT_AFTER_RAW,SAMPLE_N_RAW,SOURCE_IDS_RAW,TOTAL_UPDATES_RAW,FREQ_UPDATES_RAW,PHASE_UPDATES_RAW,FREQ_TO_PHASE_RAW,PHASE_TO_FREQ_RAW,PHASE_DETECTOR_RAW,PHASE_IN_BAND_RAW,PHASE_OUT_BAND_RAW,LAST_TRANSITION_UPDATE_RAW,LAST_TRANSITION_RAW,STATUS_RAW,LAST_FREQ_UPDATE_RAW,LAST_PHASE_UPDATE_RAW,FRAME_WORDS_RAW,VERSION_RAW,MAGIC_RAW,PRODUCER_DEDUP_SKIPPED,PRODUCER_UNIQUE
DE5 [1-11.2],1,1789541080631,1789541081014,1,1,448,202310,101155,1,65536,55,2,388,388,12073,0,359,49,48,115,116,101155,256,101155,27319,73836,4,3,73836,9982,63854,88569,258,1,88568,101155,30,1,1297101898,0,448,448,202310,101155,1,65536,55,2,388,388,12073,0,359,49,48,115,116,101155,256,101155,27319,73836,4,3,73836,9982,63854,88569,258,1,88568,101155,30,1,1297101898,0,1
DE5 [1-11.2],2,1789541081532,1789541081913,1,1,450,216762,108381,1,65536,44,2,-3990,-3990,11524,0,423,50,50,100,100,108381,256,108381,28147,80234,5,4,80234,10893,69341,106435,258,1,106434,108381,30,1,1297101898,0,450,450,216762,108381,1,65536,44,2,4294963306,4294963306,11524,0,423,50,50,100,100,108381,256,108381,28147,80234,5,4,80234,10893,69341,106435,258,1,106434,108381,30,1,1297101898,0,1
DE5 [1-11.2],3,1789541082312,1789541082694,1,1,450,216762,108381,1,65536,44,2,-3990,-3990,11524,0,423,50,50,100,100,108381,256,108381,28147,80234,5,4,80234,10893,69341,106435,258,1,106434,108381,30,1,1297101898,0,450,450,216762,108381,1,65536,44,2,4294963306,4294963306,11524,0,423,50,50,100,100,108381,256,108381,28147,80234,5,4,80234,10893,69341,106435,258,1,106434,108381,30,1,1297101898,1,0
DE5 [1-11.2],4,1789541083102,1789541083484,1,1,452,231216,115608,1,65536,48,2,-8177,-8177,11136,0,423,50,50,100,100,115608,256,115608,28147,87461,5,4,87461,11851,75610,106435,258,1,106434,115608,30,1,1297101898,0,452,452,231216,115608,1,65536,48,2,4294959119,4294959119,11136,0,423,50,50,100,100,115608,256,115608,28147,87461,5,4,87461,11851,75610,106435,258,1,106434,115608,30,1,1297101898,0,1
DE5 [1-11.2],5,1789541083886,1789541084269,1,1,452,231216,115608,1,65536,48,2,-8177,-8177,11136,0,423,50,50,100,100,115608,256,115608,28147,87461,5,4,87461,11851,75610,106435,258,1,106434,115608,30,1,1297101898,0,452,452,231216,115608,1,65536,48,2,4294959119,4294959119,11136,0,423,50,50,100,100,115608,256,115608,28147,87461,5,4,87461,11851,75610,106435,258,1,106434,115608,30,1,1297101898,1,0
DE5 [1-11.2],6,1789541084828,1789541085593,1,1,454,245670,122835,1,65536,52,2,-4528,-4528,11586,0,423,38,37,100,100,122835,256,122835,28147,94688,5,4,94688,12841,81847,106435,258,1,106434,122835,30,1,1297101898,0,454,454,245670,122835,1,65536,52,2,4294962768,4294962768,11586,0,423,38,37,100,100,122835,256,122835,28147,94688,5,4,94688,12841,81847,106435,258,1,106434,122835,30,1,1297101898,0,1
DE5 [1-11.2],7,1789541085993,1789541086378,1,1,454,245670,122835,1,65536,52,2,-4528,-4528,11586,0,423,38,37,100,100,122835,256,122835,28147,94688,5,4,94688,12841,81847,106435,258,1,106434,122835,30,1,1297101898,0,454,454,245670,122835,1,65536,52,2,4294962768,4294962768,11586,0,423,38,37,100,100,122835,256,122835,28147,94688,5,4,94688,12841,81847,106435,258,1,106434,122835,30,1,1297101898,1,0
DE5 [1-11.2],8,1789541086793,1789541087560,1,1,456,260124,130062,1,65536,50,2,-2051,-2051,11660,0,423,48,49,134,133,130062,256,130062,28686,101376,6,5,101376,13783,87593,127125,258,1,127124,130062,30,1,1297101898,0,456,456,260124,130062,1,65536,50,2,4294965245,4294965245,11660,0,423,48,49,134,133,130062,256,130062,28686,101376,6,5,101376,13783,87593,127125,258,1,127124,130062,30,1,1297101898,0,1
DE5 [1-11.2],9,1789541088147,1789541088532,1,1,456,260124,130062,1,65536,50,2,-2051,-2051,11660,0,423,48,49,134,133,130062,256,130062,28686,101376,6,5,101376,13783,87593,127125,258,1,127124,130062,30,1,1297101898,0,456,456,260124,130062,1,65536,50,2,4294965245,4294965245,11660,0,423,48,49,134,133,130062,256,130062,28686,101376,6,5,101376,13783,87593,127125,258,1,127124,130062,30,1,1297101898,1,0
DE5 [1-11.2],10,1789541088931,1789541089314,1,1,458,274578,137289,1,65536,49,2,-4914,-4914,11456,0,423,49,50,100,100,137289,256,137289,28686,108603,6,5,108603,14746,93857,127125,258,1,127124,137289,30,1,1297101898,0,458,458,274578,137289,1,65536,49,2,4294962382,4294962382,11456,0,423,49,50,100,100,137289,256,137289,28686,108603,6,5,108603,14746,93857,127125,258,1,127124,137289,30,1,1297101898,0,1
DE5 [1-11.2],11,1789541089727,1789541090116,1,1,458,274578,137289,1,65536,49,2,-4914,-4914,11456,0,423,49,50,100,100,137289,256,137289,28686,108603,6,5,108603,14746,93857,127125,258,1,127124,137289,30,1,1297101898,0,458,458,274578,137289,1,65536,49,2,4294962382,4294962382,11456,0,423,49,50,100,100,137289,256,137289,28686,108603,6,5,108603,14746,93857,127125,258,1,127124,137289,30,1,1297101898,1,0
DE5 [1-11.2],12,1789541090527,1789541091299,1,1,460,289032,144516,1,65536,57,2,-4499,-4499,11536,0,423,42,41,100,100,144516,256,144516,28686,115830,6,5,115830,15729,100101,127125,258,1,127124,144516,30,1,1297101898,0,460,460,289032,144516,1,65536,57,2,4294962797,4294962797,11536,0,423,42,41,100,100,144516,256,144516,28686,115830,6,5,115830,15729,100101,127125,258,1,127124,144516,30,1,1297101898,0,1
